ts,equity,savings
2025-09-18T06:42:26Z,100,0
2025-09-18T14:59:30Z,0.00,0.00
2025-09-18T15:14:31Z,0.00,0.00
2025-09-18T15:29:32Z,0.00,0.00
2025-09-18T15:44:33Z,0.00,0.00
2025-09-18T15:59:34Z,0.00,0.00
2025-09-18T16:14:34Z,0.00,0.00
2025-09-18T16:29:35Z,0.00,0.00
2025-09-18T16:44:36Z,0.00,0.00
2025-09-18T16:59:37Z,0.00,0.00
2025-09-18T17:14:38Z,0.00,0.00
2025-09-18T17:29:39Z,0.00,0.00
2025-09-18T17:44:40Z,0.00,0.00
2025-09-18T17:59:41Z,0.00,0.00
2025-09-18T18:14:42Z,0.00,0.00
2025-09-18T18:29:43Z,0.00,0.00
2025-09-18T18:44:43Z,0.00,0.00
2025-09-18T18:59:44Z,0.00,0.00
2025-09-18T19:14:45Z,0.00,0.00
2025-09-18T19:29:46Z,0.00,0.00
2025-09-18T19:44:47Z,0.00,0.00
2025-09-18T19:59:48Z,0.00,0.00
2025-09-18T20:14:49Z,0.00,0.00
2025-09-18T20:29:50Z,0.00,0.00
2025-09-18T20:44:50Z,0.00,0.00
2025-09-18T20:59:51Z,0.00,0.00
2025-09-18T21:14:52Z,0.00,0.00
2025-09-18T21:29:53Z,0.00,0.00
2025-09-18T21:44:54Z,0.00,0.00
2025-09-18T21:59:55Z,0.00,0.00
2025-09-18T22:14:55Z,0.00,0.00
2025-09-18T22:29:56Z,0.00,0.00
2025-09-18T22:44:57Z,0.00,0.00
2025-09-18T22:59:58Z,0.00,0.00
2025-09-18T23:14:59Z,0.00,0.00
2025-09-18T23:30:01Z,0.00,0.00
2025-09-18T23:45:02Z,0.00,0.00
2025-09-19T00:00:03Z,0.00,0.00
2025-09-19T00:15:04Z,0.00,0.00
2025-09-19T00:30:11Z,0.00,0.00
2025-09-19T00:45:33Z,0.00,0.00
2025-09-19T01:00:33Z,0.00,0.00
2025-09-19T01:16:05Z,0.00,0.00
2025-09-19T01:31:05Z,0.00,0.00
